iter	Passed	Remaining
0	145	145259
1	147	73524
2	149	49593
3	150	37437
4	151	30159
5	152	25319
6	153	21834
7	154	19206
8	155	17162
9	156	15518
10	157	14166
11	158	13041
12	159	12090
13	160	11273
14	160	10565
15	161	9941
16	162	9394
17	163	8907
18	164	8467
19	164	8077
20	165	7733
21	166	7420
22	167	7125
23	168	6855
24	169	6608
25	170	6379
26	171	6166
27	171	5967
28	172	5785
29	173	5615
30	174	5456
31	175	5306
32	176	5166
33	177	5031
34	177	4907
35	178	4789
36	179	4678
37	180	4579
38	181	4481
39	182	4386
40	183	4295
41	184	4207
42	185	4124
43	186	4045
44	187	3969
45	187	3897
46	188	3825
47	189	3758
48	190	3693
49	191	3630
50	191	3571
51	192	3512
52	193	3457
53	194	3403
54	195	3354
55	196	3307
56	197	3260
57	197	3214
58	198	3168
59	199	3125
60	200	3082
61	201	3041
62	201	3003
63	202	2964
64	203	2927
65	204	2891
66	205	2856
67	205	2821
68	206	2788
69	207	2756
70	208	2725
71	209	2695
72	210	2669
73	211	2642
74	212	2615
75	212	2587
76	213	2561
77	214	2534
78	215	2510
79	216	2485
80	216	2460
81	217	2436
82	218	2409
83	218	2386
84	219	2364
85	220	2342
86	221	2321
87	222	2300
88	222	2280
89	223	2259
90	224	2242
91	225	2225
92	226	2208
93	227	2189
94	227	2171
95	228	2154
96	229	2137
97	230	2119
98	231	2103
99	231	2087
100	232	2071
101	233	2056
102	234	2041
103	235	2026
104	236	2012
105	236	1997
106	237	1983
107	238	1968
108	239	1955
109	240	1943
110	241	1931
111	241	1918
112	242	1907
113	243	1895
114	244	1883
115	245	1870
116	246	1857
117	246	1844
118	247	1833
119	248	1822
120	249	1810
121	250	1799
122	250	1788
123	251	1777
124	252	1767
125	253	1756
126	253	1745
127	254	1736
128	255	1727
129	256	1718
130	257	1708
131	258	1699
132	259	1690
133	260	1681
134	261	1672
135	261	1663
136	262	1654
137	263	1646
138	264	1637
139	265	1629
140	266	1622
141	266	1612
142	268	1606
143	269	1602
144	270	1596
145	271	1590
146	272	1583
147	273	1577
148	275	1571
149	276	1565
150	277	1560
151	278	1554
152	279	1548
153	280	1542
154	281	1536
155	283	1531
156	284	1526
157	285	1519
158	286	1512
159	286	1506
160	287	1498
161	288	1491
162	289	1485
163	290	1478
164	290	1472
165	291	1466
166	292	1460
167	293	1454
168	294	1448
169	295	1442
170	296	1436
171	297	1431
172	298	1426
173	299	1421
174	300	1415
175	301	1410
176	302	1405
177	303	1399
178	303	1393
179	304	1388
180	305	1383
181	306	1377
182	307	1372
183	308	1367
184	309	1362
185	310	1357
186	311	1352
187	312	1347
188	313	1345
189	314	1340
190	315	1335
191	316	1330
192	316	1324
193	317	1319
194	318	1314
195	319	1310
196	320	1305
197	321	1300
198	322	1297
199	323	1294
200	324	1290
201	325	1286
202	326	1283
203	328	1281
204	329	1277
205	330	1273
206	331	1270
207	333	1267
208	334	1264
209	335	1260
210	335	1256
211	336	1252
212	337	1248
213	338	1243
